Export;EXP-2023-01 (20230706 17:18);;;StationsCode;NL10742
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Nijmegen-Ruyterstraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.838221,5.856938)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad
;;;;StationsType;achtergrond
;;;;Meetprincipe;Reflectometrie
;;;;Meetopstelling;ETL-SX200
;;;;Accreditatienummer;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10742
ZWR;dag;µg/m³;20170101 00:00;20170102 00:00;11.56
ZWR;dag;µg/m³;20170102 00:00;20170103 00:00;4.77
ZWR;dag;µg/m³;20170103 00:00;20170104 00:00;3.71
ZWR;dag;µg/m³;20170104 00:00;20170105 00:00;1.68
ZWR;dag;µg/m³;20170105 00:00;20170106 00:00;3.83
ZWR;dag;µg/m³;20170106 00:00;20170107 00:00;7.32
ZWR;dag;µg/m³;20170107 00:00;20170108 00:00;7.57
ZWR;dag;µg/m³;20170108 00:00;20170109 00:00;11.69
ZWR;dag;µg/m³;20170109 00:00;20170110 00:00;8.64
ZWR;dag;µg/m³;20170110 00:00;20170111 00:00;5.6
ZWR;dag;µg/m³;20170111 00:00;20170112 00:00;3.82
ZWR;dag;µg/m³;20170112 00:00;20170113 00:00;2.39
ZWR;dag;µg/m³;20170113 00:00;20170114 00:00;1.85
ZWR;dag;µg/m³;20170114 00:00;20170115 00:00;1.55
ZWR;dag;µg/m³;20170115 00:00;20170116 00:00;5.41
ZWR;dag;µg/m³;20170116 00:00;20170117 00:00;5.69
ZWR;dag;µg/m³;20170117 00:00;20170118 00:00;5.59
ZWR;dag;µg/m³;20170118 00:00;20170119 00:00;7.93
ZWR;dag;µg/m³;20170119 00:00;20170120 00:00;15.02
ZWR;dag;µg/m³;20170120 00:00;20170121 00:00;16.92
ZWR;dag;µg/m³;20170121 00:00;20170122 00:00;12.49
ZWR;dag;µg/m³;20170122 00:00;20170123 00:00;29.96
ZWR;dag;µg/m³;20170123 00:00;20170124 00:00;20.06
ZWR;dag;µg/m³;20170124 00:00;20170125 00:00;15.56
ZWR;dag;µg/m³;20170125 00:00;20170126 00:00;12.67
