Export;EXP-2023-01 (20230705 21:24);;;StationsCode;NL49551;NL49553
Periode;20220101 00:00 - 20230101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20220101 00:00;20220101 01:00;1.3;0.7
H2S;uur;µg/m³;20220101 01:00;20220101 02:00;0.8;1.5
H2S;uur;µg/m³;20220101 02:00;20220101 03:00;1.2;0.9
H2S;uur;µg/m³;20220101 03:00;20220101 04:00;1.2;0.7
H2S;uur;µg/m³;20220101 04:00;20220101 05:00;1.2;1.7
H2S;uur;µg/m³;20220101 05:00;20220101 06:00;1.6;0.8
H2S;uur;µg/m³;20220101 06:00;20220101 07:00;1.8;0.8
H2S;uur;µg/m³;20220101 07:00;20220101 08:00;1.5;
H2S;uur;µg/m³;20220101 08:00;20220101 09:00;1.3;3.4
H2S;uur;µg/m³;20220101 09:00;20220101 10:00;1.2;2.4
H2S;uur;µg/m³;20220101 10:00;20220101 11:00;1.6;2
H2S;uur;µg/m³;20220101 11:00;20220101 12:00;1.3;1.7
H2S;uur;µg/m³;20220101 12:00;20220101 13:00;1.2;0.8
H2S;uur;µg/m³;20220101 13:00;20220101 14:00;1.8;1
H2S;uur;µg/m³;20220101 14:00;20220101 15:00;1.3;1.3
H2S;uur;µg/m³;20220101 15:00;20220101 16:00;1;2.6
H2S;uur;µg/m³;20220101 16:00;20220101 17:00;1.1;3.5
H2S;uur;µg/m³;20220101 17:00;20220101 18:00;1.3;3.3
H2S;uur;µg/m³;20220101 18:00;20220101 19:00;1.7;1.2
H2S;uur;µg/m³;20220101 19:00;20220101 20:00;1.1;4
H2S;uur;µg/m³;20220101 20:00;20220101 21:00;1.1;4.6
H2S;uur;µg/m³;20220101 21:00;20220101 22:00;1.4;4.2
H2S;uur;µg/m³;20220101 22:00;20220101 23:00;1.3;5.1
H2S;uur;µg/m³;20220101 23:00;20220102 00:00;0.9;4.2
H2S;uur;µg/m³;20220102 00:00;20220102 01:00;1.3;5
H2S;uur;µg/m³;20220102 01:00;20220102 02:00;1.4;4.5
