Export;EXP-2023-01 (20230706 12:43);;;StationsCode;NL49551;NL49553
Periode;20190101 00:00 - 20200101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20190101 00:00;20190101 01:00;5.1;1
H2S;uur;µg/m³;20190101 01:00;20190101 02:00;0.9;0.3
H2S;uur;µg/m³;20190101 02:00;20190101 03:00;1;0.2
H2S;uur;µg/m³;20190101 03:00;20190101 04:00;0.5;0.2
H2S;uur;µg/m³;20190101 04:00;20190101 05:00;0.6;0.2
H2S;uur;µg/m³;20190101 05:00;20190101 06:00;0.7;0.1
H2S;uur;µg/m³;20190101 06:00;20190101 07:00;0.5;0.1
H2S;uur;µg/m³;20190101 07:00;20190101 08:00;0.4;0.2
H2S;uur;µg/m³;20190101 08:00;20190101 09:00;0.7;0.1
H2S;uur;µg/m³;20190101 09:00;20190101 10:00;0.7;0.1
H2S;uur;µg/m³;20190101 10:00;20190101 11:00;5.5;
H2S;uur;µg/m³;20190101 11:00;20190101 12:00;0.9;0.1
H2S;uur;µg/m³;20190101 12:00;20190101 13:00;;0.2
H2S;uur;µg/m³;20190101 13:00;20190101 14:00;4;0.1
H2S;uur;µg/m³;20190101 14:00;20190101 15:00;5;0.1
H2S;uur;µg/m³;20190101 15:00;20190101 16:00;5.4;0.1
H2S;uur;µg/m³;20190101 16:00;20190101 17:00;4.6;0.1
H2S;uur;µg/m³;20190101 17:00;20190101 18:00;3.5;0.3
H2S;uur;µg/m³;20190101 18:00;20190101 19:00;4.3;0.1
H2S;uur;µg/m³;20190101 19:00;20190101 20:00;6.6;0.1
H2S;uur;µg/m³;20190101 20:00;20190101 21:00;4.7;0.1
H2S;uur;µg/m³;20190101 21:00;20190101 22:00;5;0.2
H2S;uur;µg/m³;20190101 22:00;20190101 23:00;7.4;0.3
H2S;uur;µg/m³;20190101 23:00;20190102 00:00;5;0.2
H2S;uur;µg/m³;20190102 00:00;20190102 01:00;4.8;0.1
H2S;uur;µg/m³;20190102 01:00;20190102 02:00;5.2;0.1
H2S;uur;µg/m³;20190102 02:00;20190102 03:00;4.8;0.1
H2S;uur;µg/m³;20190102 03:00;20190102 04:00;9.2;0
H2S;uur;µg/m³;20190102 04:00;20190102 05:00;3.6;0.2
H2S;uur;µg/m³;20190102 05:00;20190102 06:00;4.7;0.3
H2S;uur;µg/m³;20190102 06:00;20190102 07:00;;0.1
H2S;uur;µg/m³;20190102 07:00;20190102 08:00;3.2;0.1
H2S;uur;µg/m³;20190102 08:00;20190102 09:00;1.5;0.1
H2S;uur;µg/m³;20190102 09:00;20190102 10:00;1.1;0.1
H2S;uur;µg/m³;20190102 10:00;20190102 11:00;1.9;0.2
H2S;uur;µg/m³;20190102 11:00;20190102 12:00;1.3;0.1
H2S;uur;µg/m³;20190102 12:00;20190102 13:00;0.9;0.1
H2S;uur;µg/m³;20190102 13:00;20190102 14:00;1.9;0.2
H2S;uur;µg/m³;20190102 14:00;20190102 15:00;;0.1
H2S;uur;µg/m³;20190102 15:00;20190102 16:00;1.3;0.3
H2S;uur;µg/m³;20190102 16:00;20190102 17:00;2.4;0.1
H2S;uur;µg/m³;20190102 17:00;20190102 18:00;1.8;0.1
H2S;uur;µg/m³;20190102 18:00;20190102 19:00;1;0.2
H2S;uur;µg/m³;20190102 19:00;20190102 20:00;0.9;0
H2S;uur;µg/m³;20190102 20:00;20190102 21:00;1.4;0.1
H2S;uur;µg/m³;20190102 21:00;20190102 22:00;0.9;0.2
H2S;uur;µg/m³;20190102 22:00;20190102 23:00;3.1;0.1
H2S;uur;µg/m³;20190102 23:00;20190103 00:00;2.1;0.2
H2S;uur;µg/m³;20190103 00:00;20190103 01:00;1.2;0.1
H2S;uur;µg/m³;20190103 01:00;20190103 02:00;3.3;0.3
H2S;uur;µg/m³;20190103 02:00;20190103 03:00;3.6;0.1
H2S;uur;µg/m³;20190103 03:00;20190103 04:00;1.2;0.2
H2S;uur;µg/m³;20190103 04:00;20190103 05:00;1.2;0.1
H2S;uur;µg/m³;20190103 05:00;20190103 06:00;5.9;0.1
H2S;uur;µg/m³;20190103 06:00;20190103 07:00;1.4;0.1
H2S;uur;µg/m³;20190103 07:00;20190103 08:00;1.3;0.2
H2S;uur;µg/m³;20190103 08:00;20190103 09:00;2;0.1
H2S;uur;µg/m³;20190103 09:00;20190103 10:00;0.7;0.1
H2S;uur;µg/m³;20190103 10:00;20190103 11:00;1.5;0.3
H2S;uur;µg/m³;20190103 11:00;20190103 12:00;1.1;0.3
H2S;uur;µg/m³;20190103 12:00;20190103 13:00;1.1;
H2S;uur;µg/m³;20190103 13:00;20190103 14:00;1.4;0.1
H2S;uur;µg/m³;20190103 14:00;20190103 15:00;1.5;0.2
H2S;uur;µg/m³;20190103 15:00;20190103 16:00;1.6;0.1
H2S;uur;µg/m³;20190103 16:00;20190103 17:00;1.4;0.3
H2S;uur;µg/m³;20190103 17:00;20190103 18:00;1.1;0.2
H2S;uur;µg/m³;20190103 18:00;20190103 19:00;1.7;0.2
H2S;uur;µg/m³;20190103 19:00;20190103 20:00;1.4;0
H2S;uur;µg/m³;20190103 20:00;20190103 21:00;1.9;0.1
H2S;uur;µg/m³;20190103 21:00;20190103 22:00;1.1;0.1
H2S;uur;µg/m³;20190103 22:00;20190103 23:00;1.4;0.3
H2S;uur;µg/m³;20190103 23:00;20190104 00:00;2.5;0.1
H2S;uur;µg/m³;20190104 00:00;20190104 01:00;1;0.2
H2S;uur;µg/m³;20190104 01:00;20190104 02:00;1.8;0.2
H2S;uur;µg/m³;20190104 02:00;20190104 03:00;2.8;0.1
H2S;uur;µg/m³;20190104 03:00;20190104 04:00;0.9;0.1
H2S;uur;µg/m³;20190104 04:00;20190104 05:00;1.2;0.1
H2S;uur;µg/m³;20190104 05:00;20190104 06:00;0.7;0.1
H2S;uur;µg/m³;20190104 06:00;20190104 07:00;0.5;0.1
H2S;uur;µg/m³;20190104 07:00;20190104 08:00;0.9;0.2
H2S;uur;µg/m³;20190104 08:00;20190104 09:00;0.9;0.1
H2S;uur;µg/m³;20190104 09:00;20190104 10:00;1;0.3
H2S;uur;µg/m³;20190104 10:00;20190104 11:00;1.4;0.1
H2S;uur;µg/m³;20190104 11:00;20190104 12:00;1.2;0
H2S;uur;µg/m³;20190104 12:00;20190104 13:00;0.5;0.1
H2S;uur;µg/m³;20190104 13:00;20190104 14:00;1.2;0.1
H2S;uur;µg/m³;20190104 14:00;20190104 15:00;1.2;0.2
H2S;uur;µg/m³;20190104 15:00;20190104 16:00;2.1;0.2
H2S;uur;µg/m³;20190104 16:00;20190104 17:00;;0.1
H2S;uur;µg/m³;20190104 17:00;20190104 18:00;3.8;0.2
H2S;uur;µg/m³;20190104 18:00;20190104 19:00;4.2;0.1
H2S;uur;µg/m³;20190104 19:00;20190104 20:00;3.5;0.1
H2S;uur;µg/m³;20190104 20:00;20190104 21:00;2.2;0.1
H2S;uur;µg/m³;20190104 21:00;20190104 22:00;4.6;0.2
H2S;uur;µg/m³;20190104 22:00;20190104 23:00;4.1;0.2
H2S;uur;µg/m³;20190104 23:00;20190105 00:00;3.7;0.2
H2S;uur;µg/m³;20190105 00:00;20190105 01:00;2;0.3
H2S;uur;µg/m³;20190105 01:00;20190105 02:00;2.7;0.1
H2S;uur;µg/m³;20190105 02:00;20190105 03:00;4.8;0.2
H2S;uur;µg/m³;20190105 03:00;20190105 04:00;4.2;0.1
H2S;uur;µg/m³;20190105 04:00;20190105 05:00;6.6;0.1
