Export;EXP-2023-01 (20230706 14:53);;;StationsCode;NL10131;NL10444;NL10538;NL10633;NL10738
Periode;20180101 00:00 - 20190101 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;De Zilk-Vogelaarsdreef;Wieringerwerf-Medemblikkerweg;Zegveld-Oude Meije;Wekerom-Riemterdijk
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(52.296556,4.510817);(52.803657,5.050509);(52.13795,4.83819);(52.111621,5.708419)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;regionaal;regionaal
;;;;StationsType;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond
;;;;Meetprincipe;Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS)
;;;;Meetopstelling;miniDOAS;miniDOAS;miniDOAS;miniDOAS;miniDOAS
;;;;Accreditatienummer;nvt;nvt;nvt;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10444;NL10538;NL10633;NL10738
NH3;uur;µg/m³;20180101 00:00;20180101 01:00;3.024;;2.753;1.253;1.867
NH3;uur;µg/m³;20180101 01:00;20180101 02:00;2.96;;;1.329;1.484
NH3;uur;µg/m³;20180101 02:00;20180101 03:00;2.779;;;0.603;1.129
NH3;uur;µg/m³;20180101 03:00;20180101 04:00;2.262;;;1.067;1.211
NH3;uur;µg/m³;20180101 04:00;20180101 05:00;1.865;;;0.273;1.025
NH3;uur;µg/m³;20180101 05:00;20180101 06:00;2.309;;2.132;0.311;1.251
NH3;uur;µg/m³;20180101 06:00;20180101 07:00;2.781;0.213;2.213;0.637;1.747
NH3;uur;µg/m³;20180101 07:00;20180101 08:00;3.023;0.248;2.231;0.493;1.924
NH3;uur;µg/m³;20180101 08:00;20180101 09:00;3.307;0.1;2.507;1.318;2.063
NH3;uur;µg/m³;20180101 09:00;20180101 10:00;2.983;0.269;2.697;1.799;1.584
NH3;uur;µg/m³;20180101 10:00;20180101 11:00;2.819;0.592;2.488;1.484;1.192
NH3;uur;µg/m³;20180101 11:00;20180101 12:00;2.917;0.699;2.691;1.115;0.918
NH3;uur;µg/m³;20180101 12:00;20180101 13:00;3.077;0.743;3.231;0.694;1.032
NH3;uur;µg/m³;20180101 13:00;20180101 14:00;3.031;0.853;3.419;0.77;1.942
